address, balance, GLTO
juno1v9eup5s52sc0p3hh0kcc5sq24lkhyypwa0q9ge, 12.261375, 10946.91647
juno1v4h59pmzx0jzq2mq02azy2t4umenj8xqf6wn3j, 10.000000, 10946.91647
juno14yzqd0mn0gsttacz45japvu604t6423sq6k3xh, 5.589705, 10946.91647
juno168xmhhyha6hc8s66ylzfzpdwca4kr8sk3drt95, 2.101495, 10946.91647
juno1m0nrf6hwu2x6va7uvxa4897f2ugr0hlv2ad0rj, 13.246011, 10946.91647
juno19rzc4nyq44356wruv0wk820hk0j0ftdfcrf58p, 2.661639, 10946.91647
juno17wkd9fxchmh99mr7smfv03yzhu65kyumtpuce5, 1.000000, 10946.91647
juno1kzl36z2407nvsg80fczk2accuemjevlaasasv5, 1.000000, 10946.91647
juno1wcqf23l7r5z057l38fk5n0t7vhhwddwuuxj5rh, 1.000000, 10946.91647
juno1ddda2nkjr5ttq0p989yjky662layaldsxfluda, 1.000000, 10946.91647
juno17uleydkf7lc050rrwvvx9rc5ky596ys3n9qtyd, 1.020644, 10946.91647
juno1cujhq72xqa5t5pvz3zjn0rfqmdl2sl0hnxccfd, 1.342987, 10946.91647
juno1dy8rc84563pym9pyt900yrtn395c32sjhvepdc, 1.015074, 10946.91647
juno1ju803zeexjp72dtf8l3hlkgnc8xe980jsz76ln, 1.000000, 10946.91647
juno1d8pwj29kze0m35grea4z9qkdgl9e54en4yxtfq, 14.526679, 10946.91647
juno1dryykk7eyxncr7elnl36dvx7agulxn6wdefdv9, 4.309901, 10946.91647
juno1e62dgrakq4nuttdrtr2whrkrf3339klth6lp7a, 1.000000, 10946.91647
juno1ls76wqkug9h90gmaqcy24vd7hddgvugzfrnrqy, 1.000000, 10946.91647
juno1xk9nguk28krahklva6a25umjvcqm2jqhmpvmyg, 8.986363, 10946.91647
juno1zder5kyywva20kdxpkh9nq8ccnk7klhxnxm7qd, 2.120147, 10946.91647
juno1yyxmfgmyjq3qrdwv3wamt4wh7vs0xxa2wgwutc, 1.000000, 10946.91647
juno1unx8zwgrzsj797vg9hnw2u0jq8ed852r4r9utk, 5.000000, 10946.91647
juno1uppc4vhjuzr4d607gtq6w92mjupxej37d73uy3, 1.000000, 10946.91647
juno1ts92tkwx80p2fz4yvnt5faa8l93v8pjdc3ntnw, 10.000000, 10946.91647
juno169u2223vwckjr46pt90jdeaf2vey3xjsydnvzt, 2.015044, 10946.91647
juno1mfnw0gjt2vel3t0ycrnc24d7hgh2q7kju52qgp, 1.200000, 10946.91647
juno1zh2aljhrv5n5t56820j6wk6pgrdma54et3kswe, 1.008050, 10946.91647
juno1km4ce0jeu6xqe0qd0pj22q9k3dzav7njjnt4ap, 1.152832, 10946.91647
juno1v3y2evk9vrkxdfnn2gxx96r8zjejyr5z4wjjqr, 2.500000, 10946.91647
juno1n8jdyxl5l6dlfue75f6lrc54et547dzwyf40vp, 2.208342, 10946.91647
juno12pqwf5k4hvqwaxx6h7ewzu77m9y3p9t6v72dn0, 1.000862, 10946.91647
juno1fmmxud5cegx8rf7tjjlx4tkh48xvxzpgjrw0rt, 1.000000, 10946.91647
juno1mtzuaxhqtx665qdem77pjwcacfl205wdgafa4t, 11.200000, 10946.91647
juno1m6xmq9evfvqpu39m527vqpyw32zl3r7u6rafv4, 1.200264, 10946.91647
juno1vn97l4slukxanq4hqtj897hf43yknsm9x20dw8, 1.001100, 10946.91647
juno16u2nadrdduazuduhg6scw2kkm69mlzy8549syq, 1.000000, 10946.91647
juno1zksx3dj68w397hj02n64taxsqsp0jle6rpcljj, 1.000000, 10946.91647
juno18uq043f9a6pclal8f3wlv5rmwdj2r3kgrjflpy, 0.900000, 10946.91647
juno1fs8er0greualh3juwem3nfn4fzcru94hg2wpgg, 1.200000, 10946.91647
juno1m073dtggfvyc0phf4k0zhrnedthtfd0lxxvnug, 1.200000, 10946.91647
juno180pdyeng2am7mmqwm9ruvftsddmd2vyj0pddhp, 1.697395, 10946.91647
juno1n8gqw8jdh73r7w6nuvr0wy6javsjgwt3q682md, 1.476954, 10946.91647
juno1vtlwpca2c0azaawm4l2k4dj47xxqeccvvd9p72, 11.200000, 10946.91647
juno10e8zyhyyq82vyyktk8jnj368euqlhgqxdaw4yy, 11.200000, 10946.91647
juno1vq97vj6hsrvg8569eclpnpsvs6nk7jll5rvqth, 9.246169, 10946.91647
juno10kfuu9tetmu75v9mgpqlzq0rpexmk5kjguafvn, 0.500000, 10946.91647
juno1lwtp0c732f9cv5rzyv9jyrg3a4vt2mjz288y0z, 1.000000, 10946.91647
juno1vepptjfksqhsa0hl7x086slzjuzdv78vrtkqt6, 0.500000, 10946.91647
juno1ea8m0hflrre42tpdqgpvktrx8jp2r34w2wphkp, 1.007034, 10946.91647
juno1jp39yxhexqqq6yxpnxdepkuhfwnll6cyf592cn, 0.738152, 10946.91647
juno18ejuuy6ekhe9f0r837m03y0k4xq9y7tqkjkk9j, 1.000000, 10946.91647
juno1y53t6lr5a33g4ku3x6apksqw45k8w6h3vanjaw, 1.000000, 10946.91647
juno1x5qknmr553gmullzzm2ljly4kkce2hrwpxyj5v, 3.203151, 10946.91647
juno13ketvyvzqxh6rq08qez3dvekd02uxll66lnlyg, 0.824724, 10946.91647
juno1fq6pcalktpgwzveupsjqdkr9a42fu8rhyg2k4f, 1.000000, 10946.91647
juno1su5xcc59tahjql4pl3vgkwh7a8ahgqlghj5lnv, 11.000000, 10946.91647
juno1dpk3403ghkqmahy5uumjeuuvjv0tqjau3epd0v, 0.994654, 10946.91647
juno14rt5w9u8xn8ty8axa4k5m9g64x8qsedreg5qz0, 13.329718, 10946.91647
juno153pg94s7x34h7peqrey79lte22fl5qxsvvzd80, 1.000000, 10946.91647
juno1xmlnhjnm4sdygxqwt7ewjxf67lnde0ck4gfvck, 9.781807, 10946.91647
juno1lujhkwkpwnsems37697fr9t0aja5gd0syz9s64, 230.086514, 10946.91647
juno1jh3jje89dd2yadaum8maeccfndvn88gfuegnxk, 1.004590, 10946.91647
juno1pvgyc3rcnlpyl8gkzgax3x8ewexq2fvvdnkqfa, 1.200000, 10946.91647
juno1g52rt3l7xrz252nmjc9gnfrh5trfs0dvclvna9, 1.000000, 10946.91647
juno1cxwqw0853du2cljtq7amx8ssp4n8rq4mvsed99, 1.143719, 10946.91647
