JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1ff9tskaz9faad5ajg2sqhwmuk9nht3hyq8mhl4	10,011.00			10,011.00
juno1gc42qsdlmhsdgkgu98dmwznq23eadphtk6w068	10,011.00			10,011.00
juno1gfnnpxnn8l9f3zagaawqpsv9f7umyfrkgz8tf9	10,011.00			10,011.00
juno1hc7q7ykhtgmd3fpr7uaf392f6xj3wt0u02f7v9	10,011.00			10,011.00
juno1jgxlx40xd7qhldpnl400rwx847ycq7wkxp7at3	10,011.00			10,011.00
juno1luj2g2q8sdj2pxvg84cgmrkcaml6ln2ud8mczx	10,011.00			10,011.00
juno1s33h2tfauzsvdapd2uavlvufpgpjaguau3xje8	10,011.00			10,011.00
juno1upvpl9tzg7a9ltxzgyxvm97csmagerwv948mw9	10,011.00			10,011.00
juno1lerh07fgshw98r3w3drvkjcykpp54p62k255na	10,010.51			10,010.51
juno1uxc2fvu998qar62g20cpucy8yz685lxj2xmr73	10,010.33			10,010.33
juno1nlvm2gudupe3u4fcgav4w6a7mhrsdjxntfhc6c	10,010.18			10,010.18
juno10jpsh288s4y4ncgp4v8nwwxv82lyjrrtcy9g3x	10,010.00			10,010.00
juno10wu6j5qr0wk929k02j08rukmn0smnurtrje92v	10,010.00			10,010.00
juno12k7fy999clufvjmq0r7mxhyp9rthpa93zmvyv3	10,010.00			10,010.00
juno12uqfpqp7d4e8s2quhvx8cpap8wng4cjm577xrq	10,010.00			10,010.00
juno1ak4z9zdm4g438tffl8hzt4kkk9j0gxsmslj9yf	10,010.00			10,010.00
juno1cxzzgupsp9rdhnyd5yu6ynppcspjp5m83mz5ze	10,010.00			10,010.00
juno1el8gq0sw456jdjxxlxvvdtxv4zw3emy929qdjz	10,010.00			10,010.00
juno1h4de9mj59wlcftsvr7rz6luqwd32mg2unprua5	10,010.00			10,010.00
